0.57 1.987	1.42176	3.21	-19.4925	
0.58 1.987	1.39647	3.21	-19.4925	
0.59 1.987	1.3702	3.21	-19.4925	
0.6 1.987	1.34295	3.21	-19.4925	
0.61 1.987	1.31472	3.21	-19.4925	
0.62 1.987	1.28551	3.21	-19.4925	
0.63 1.987	1.25531	3.21	-19.4925	
0.64 1.987	1.22414	3.21	-19.4925	
0.65 1.987	1.19198	3.21	-19.4925	
0.66 1.987	1.15885	3.21	-19.4925	
0.67 1.987	1.12473	3.21	-19.4925	
0.68 1.987	1.08963	3.21	-19.4925	
0.69 1.987	1.05355	3.21	-19.4925	
0.7 1.987	1.01649	3.21	-19.4925	
0.71 1.987	0.978448	3.21	-19.4925	
0.72 1.987	0.939426	3.21	-19.4925	
0.73 1.987	0.899422	3.21	-19.4925	
0.74 1.987	0.858438	3.21	-19.4925	
0.75 1.987	0.816472	3.21	-19.4925	
0.76 1.987	0.773526	3.21	-19.4925	
0.77 1.987	0.729598	3.21	-19.4925	
0.78 1.987	0.68469	3.21	-19.4925	
0.79 1.987	0.6388	3.21	-19.4925	
0.8 1.987	0.59193	3.21	-19.4925	
0.81 1.987	0.544078	3.21	-19.4925	
0.82 1.987	0.495246	3.21	-19.4925	
0.83 1.987	0.445432	3.21	-19.4925	
0.84 1.987	0.394638	3.21	-19.4925	
0.85 1.987	0.342862	3.21	-19.4925	
0.86 1.987	0.290106	3.21	-19.4925	
0.87 1.987	0.236368	3.21	-19.4925	
0.88 1.987	0.18165	3.21	-19.4925	
0.89 1.987	0.12595	3.21	-19.4925	
0.9 1.987	0.0692695	3.21	-19.4925	
0.91 1.987	0.011608	3.21	-19.4925	
0.92 1.987	-0.0470345	3.21	-19.4925	
0.93 1.987	-0.106658	3.21	-19.4925	
0.94 1.987	-0.167262	3.21	-19.4925	
0.95 1.987	-0.228848	3.21	-19.4925	
0.96 1.987	-0.291414	3.21	-19.4925	
0.97 1.987	-0.354962	3.21	-19.4925	
0.98 1.987	-0.41949	3.21	-19.4925	
0.99 1.987	-0.485	3.21	-19.4925	
1 1.987	-0.55149	3.21	-19.4925	
1.01 1.987	-0.618962	3.21	-19.4925	
1.02 1.987	-0.687414	3.21	-19.4925	
1.03 1.987	-0.756848	3.21	-19.4925	
1.04 1.987	-0.827262	3.21	-19.4925	
1.05 1.987	-0.898658	3.21	-19.4925	
1.06 1.987	-0.971034	3.21	-19.4925	
1.07 1.987	-1.04439	3.21	-19.4925	
