2.1 1.987	-13.8545	-17.4401	-19.4925	
2.11 1.987	-14.0298	-17.5382	-19.4925	
2.12 1.987	-14.2062	-17.6363	-19.4925	
2.13 1.987	-14.3835	-17.7344	-19.4925	
2.14 1.987	-14.5619	-17.8325	-19.4925	
2.15 1.987	-14.7412	-17.9306	-19.4925	
2.16 1.987	-14.9215	-18.0287	-19.4925	
2.17 1.987	-15.1027	-18.1268	-19.4925	
2.18 1.987	-15.285	-18.2249	-19.4925	
2.19 1.987	-15.4682	-18.323	-19.4925	
2.2 1.987	-15.6524	-18.4211	-19.4925	
2.21 1.987	-15.8376	-18.5191	-19.4925	
2.22 1.987	-16.0238	-18.6172	-19.4925	
2.23 1.987	-16.2109	-18.7153	-19.4925	
2.24 1.987	-16.3991	-18.8134	-19.4925	
2.25 1.987	-16.5882	-18.9115	-19.4925	
2.26 1.987	-16.7783	-19.0096	-19.4925	
2.27 1.987	-16.9694	-19.1077	-19.4925	
2.28 1.987	-17.1614	-19.2058	-19.4925	
2.29 1.987	-17.3545	-19.3039	-19.4925	
2.3 1.987	-17.5485	-19.402	-19.4925	
2.31 1.987	-17.7435	-19.5001	-19.4925	
2.32 1.987	-17.9395	-19.5982	-19.4925	
2.33 1.987	-18.1364	-19.6963	-19.4925	
2.34 1.987	-18.3344	-19.7944	-19.4925	
